job_id,user,node_num,gpu_num,cpu_num,mem_per_pod_GB,shared_mem_per_pod,type,state,submit_time,start_time,end_time,fail_time,stop_time,duration,queue,gpu_time
dlcm83kskhrxxg7w,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-29 06:18:56+00:00,2023-05-29 06:19:26+00:00,2023-05-29 06:19:48+00:00,,,52,30.0,104.0
dlc2ixt6slswkvs7,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-29 06:22:02+00:00,2023-05-29 06:22:21+00:00,2023-05-29 06:28:46+00:00,,,404,19.0,808.0
dlc4h3e9wvlupoho,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-29 06:47:44+00:00,2023-05-29 06:48:01+00:00,2023-05-29 06:48:12+00:00,,,28,17.0,56.0
dlcc8tfk46vdcgkc,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-29 06:52:29+00:00,2023-05-29 06:52:43+00:00,2023-05-29 06:56:53+00:00,,,264,14.0,528.0
dlcf120hwlls7wdu,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-29 07:31:02+00:00,2023-05-29 07:31:25+00:00,2023-05-29 07:35:39+00:00,,,277,23.0,554.0
dlc51jfus6dbq4tu,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-29 07:38:59+00:00,2023-05-29 07:39:09+00:00,2023-05-29 07:43:29+00:00,,,270,10.0,540.0
dlc33xipwlbiamzs,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-29 08:13:00+00:00,2023-05-29 08:15:42+00:00,2023-05-29 08:16:35+00:00,,,215,162.0,430.0
dlc10yr090oakr5n,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-29 08:36:22+00:00,2023-05-29 08:36:31+00:00,2023-05-29 08:37:25+00:00,,,63,9.0,126.0
dlc1pe2ih0euk91k,u212a,1,0,120,1000,20.0,CPU,COMPLETED,2023-05-29 09:11:58+00:00,2023-05-29 09:12:02+00:00,2023-05-29 09:13:39+00:00,,,101,4.0,
dlcl691xgo8dkc7w,u212a,1,0,120,1000,20.0,CPU,COMPLETED,2023-05-29 10:09:16+00:00,2023-05-29 10:09:18+00:00,2023-05-29 10:10:59+00:00,,,103,2.0,
dlco8blz82nali2n,u212a,1,0,120,1000,20.0,CPU,COMPLETED,2023-05-29 10:30:48+00:00,2023-05-29 10:30:51+00:00,2023-05-29 10:32:56+00:00,,,128,3.0,
dlcpc9zicluwuoml,u212a,1,0,120,1000,20.0,CPU,COMPLETED,2023-05-29 10:30:51+00:00,2023-05-29 10:30:56+00:00,2023-05-29 10:31:35+00:00,,,44,5.0,
dlc6rp2isyzwe4qf,u98e1,8,64,960,1000,100.0,Other,FAILED,2023-05-29 11:42:17+00:00,2023-05-29 11:42:26+00:00,2023-05-29 11:42:31+00:00,2023-05-29 11:42:31+00:00,,14,9.0,896.0
dlc17pn1fowo67eu,ud094,32,256,3840,1000,100.0,Pretrain,CANCELLED,2023-05-29 14:22:21+00:00,2023-05-29 14:22:33+00:00,2023-05-30 04:32:16+00:00,,2023-05-30 04:32:16+00:00,50995,12.0,13054720.0
dlc1qi9blwn315e4,u98e1,16,128,1920,1000,100.0,Pretrain,FAILED,2023-05-30 03:49:53+00:00,2023-05-30 03:50:04+00:00,2023-05-30 03:58:28+00:00,2023-05-30 03:58:28+00:00,,515,11.0,65920.0
dlc1vig26c799rcm,ud094,32,256,3840,1000,100.0,Pretrain,COMPLETED,2023-05-30 04:32:52+00:00,2023-05-30 04:33:06+00:00,2023-05-30 23:58:59+00:00,,,69967,14.0,17911552.0
dlc1o1ewhwktj26d,u98e1,16,128,1920,1000,100.0,Pretrain,CANCELLED,2023-05-30 05:44:57+00:00,2023-05-30 05:45:08+00:00,2023-05-30 06:20:09+00:00,,2023-05-30 06:20:09+00:00,2112,11.0,270336.0
dlcqh4oas7p9kes9,u98e1,16,128,1920,1000,100.0,Pretrain,CANCELLED,2023-05-30 06:21:20+00:00,2023-05-30 06:21:31+00:00,2023-05-30 07:12:00+00:00,,2023-05-30 07:12:00+00:00,3040,11.0,389120.0
dlc1rxrh8kqlwzhw,u212a,1,0,120,1000,20.0,CPU,COMPLETED,2023-05-30 06:40:39+00:00,2023-05-30 06:40:45+00:00,2023-05-30 06:41:11+00:00,,,32,6.0,
dlc1fqaqysitpnjc,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-30 06:44:10+00:00,2023-05-30 06:44:21+00:00,2023-05-30 06:49:50+00:00,,,340,11.0,680.0
dlcze0mpwcedwjes,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-30 08:38:24+00:00,2023-05-30 08:38:33+00:00,2023-05-30 08:39:16+00:00,,,52,9.0,104.0
dlcrwy2h03wse8p8,u98e1,16,128,1920,1000,100.0,Pretrain,FAILED,2023-05-30 09:46:13+00:00,2023-05-30 09:46:22+00:00,2023-05-30 09:47:04+00:00,2023-05-30 09:47:04+00:00,,51,9.0,6528.0
dlcq39j8li1u6wnd,u53a8,4,32,480,1000,100.0,Other,CANCELLED,2023-05-30 09:48:50+00:00,2023-05-30 09:49:02+00:00,2023-06-06 12:17:31+00:00,,2023-06-06 12:17:31+00:00,613721,12.0,19639072.0
dlc2y00lglwpuq29,u98e1,16,128,1920,1000,100.0,Pretrain,FAILED,2023-05-30 09:48:58+00:00,2023-05-30 09:49:06+00:00,2023-05-30 09:49:37+00:00,2023-05-30 09:49:37+00:00,,39,8.0,4992.0
dlc60ku1011k5t6i,u98e1,16,128,1920,1000,100.0,Pretrain,FAILED,2023-05-30 11:05:58+00:00,2023-05-30 11:06:10+00:00,2023-05-30 11:06:56+00:00,2023-05-30 11:06:56+00:00,,58,12.0,7424.0
dlcrdpkhwtx3n5vk,u98e1,16,128,1920,1000,100.0,Pretrain,CANCELLED,2023-05-30 11:07:15+00:00,2023-05-30 11:07:26+00:00,2023-05-30 11:25:21+00:00,,2023-05-30 11:25:21+00:00,1086,11.0,139008.0
dlc1ooh24kxmbuqr,u53a8,4,32,480,1000,100.0,Other,CANCELLED,2023-05-30 11:22:02+00:00,2023-05-30 11:22:13+00:00,2023-06-06 12:17:41+00:00,,2023-06-06 12:17:41+00:00,608139,11.0,19460448.0
dlc18blvd04nssg4,u212a,8,64,960,1000,100.0,Other,COMPLETED,2023-05-30 12:12:16+00:00,2023-05-30 12:12:26+00:00,2023-06-01 09:00:24+00:00,,,161288,10.0,10322432.0
dlcudd1j8sgrygc7,ud094,32,256,3840,1000,100.0,Pretrain,COMPLETED,2023-05-31 01:16:30+00:00,2023-05-31 01:16:39+00:00,2023-06-02 15:01:20+00:00,,,222290,9.0,56906240.0
